Name,Department Profile,Specialties,Education,Location,About,Profile Link
Omar Abdel-Wahab,"Chair, Molecular Pharmacology, Sloan Kettering Institute | Edward P. Evans Endowed Chair for MDS ","Leukemia | Myeloid Malignancies (myeloproliferative neoplasms, myelodysplasia, acute myeloid leukemia) ","MD, Duke University ",New York,"I am the Director of the MSK Center for Hematologic Malignancies. I currently spend the majority of my time in the laboratory investigating the underlying causes of these disorders by studying the genes of patient samples as well as in vitro and in vivo models. As a member of the Human Oncology and Pathogenesis Program, I have helped to identify and characterize several new genetic abnormalities in the diseases mentioned above. In addition to increasing our understanding of the causes of these disorders, these discoveries have promise in helping to discover targeted therapies.",https://www.mskcc.org/cancer-care/doctors/omar-abdel-wahab
Wassim Abida,"Director of Translational Research in Prostate Cancer | Associate Attending Physician, Genitourinary Oncology ",Prostate Cancer | Clinical Trials ,"MD, Columbia University ",New York,I am a medical oncologist who specializes in caring for people with prostate cancer and other genitourinary cancers.,https://www.mskcc.org/cancer-care/doctors/wassim-abida
Linda R. Aboody,Associate Attending Radiologist ,Breast Imaging | Breast Interventions ,"MD, Columbia College of Physicians and Surgeons ",Basking Ridge,"I am a radiologist who specializes in breast imaging, percutaneous breast biopsy, and body oncologic imaging. My expertise includes the interpretation of mammography, breast ultrasound, and breast MRI.",https://www.mskcc.org/cancer-care/doctors/linda-aboody
Ghassan K. Abou-Alfa,Attending Physician ,"Gastrointestinal Oncology | Pancreas, Gallbladder, and Bile Duct Tumors | Primary Liver Cancer ","MD, American University of Beirut ",New York,"I am a board-certified medical oncologist who treats patients with gastrointestinal cancers. My specialization is in primary liver cancer (hepatocellular carcinoma), pancreas, gallbladder, and bile duct tumors. As part of a multidisciplinary group, my colleagues and I offer patients a team approach to treating these cancers.",https://www.mskcc.org/cancer-care/doctors/ghassan-abou-alfa
David H. Abramson,"Chief, Ophthalmic Oncology Service, Department of Surgery ",Retinoblastoma | Ocular Melanomas (Melanoma of the Eye) | Uveal Melanoma | Orbital Tumors | Ophthalmic Oncology ,"MD, Albert Einstein College of Medicine ",New York,Please note that this doctor’s office for adult patients has recently moved. All adult patient appointments are now taking place at the Rockefeller Outpatient Pavilion at 160 East 53rd Street in Manhattan. Pediatric appointments continue to be held at Main Campus.,https://www.mskcc.org/cancer-care/doctors/david-abramson
Nadeem R. Abu-Rustum,"Chief, Gynecology Service | Avon Chair in Gynecologic Oncology Research | Founder’s Chair ","Approximately 600 new cases of uterine (endometrial) cancer | 500 new cases of ovarian cancer | 100 cases of cervical cancer, and | 75 cases of vulvar cancer annually ","Sentinel node mapping | Improved localization of tumors, and | Fertility-sparing surgery ",New York,"As Chief of the Gynecologic Service at Memorial Sloan Kettering Cancer Center (MSK), I lead a team of 15 gynecologic surgeons that performs more than 3,000 gynecologic procedures each year. This includes surgical intervention for:",https://www.mskcc.org/cancer-care/doctors/nadeem-abu-rustum
Nour Abuhadra,"Director, Rare Breast Cancer Program, Department of Medicine | Co-Section Head, Triple Negative Breast Cancer Clinical Research Program, Department of Medicine ",Breast Cancer ,"MD, Weill Cornell Medical College ",New York,I am a board-certified medical oncologist whose clinical practice is dedicated to the care of patients with breast cancer. My practice is located in the Evelyn H. Lauder Breast Center at Memorial Sloan Kettering Cancer Center.,https://www.mskcc.org/cancer-care/doctors/nour-abuhadra
Patricia V. Adem,"Vice Chair of Clinical Operations, Department of Laboratory Medicine ",Laboratory Medicine ,"MD, University of Medicine and Dentistry of New Jersey-New Jersey Medical School ",,"The primary reason I became a pathologist was because I wanted to work to improve the lives of people with cancer, and I remain true to this motivation to this day. I am board-certified in both anatomic and clinical pathology and hold subspecialty certification in medical microbiology. My practice area is laboratory medicine, which involves assessments of blood or other bodily fluids to provide meaningful information to caregivers.",https://www.mskcc.org/cancer-care/doctors/patricia-adem
Prasad S. Adusumilli,"Deputy Chief and Attending, Thoracic Service | Vice Chair for Translational Research, Department of Surgery | Co-Director, Mesothelioma Program | Member, Solid Tumors Cell Therapy, Cellular Therapeutics Center ",Lung Cancer | Mesothelioma | Metastatic Cancers to the Lung | Mediastinal and Chest Wall Tumors | Thymoma | Pleurectomy | Video-assisted thoracic Surgery (VATS) | Lobectomy | Robotic Bronchoscopy | Laparoscopy ,"MD, Guntur Medical College, India ",New York,"I am a surgeon with expertise in the diagnosis and treatment of thoracic cancers (cancers of the chest). These include lung cancer, mesothelioma, thymoma, mediastinal and chest wall tumors. I also specialize in cancers that have spread to the lung and pleura (layers of protective tissue that surround the lungs).",https://www.mskcc.org/cancer-care/doctors/prasad-adusumilli
Anoushka Afonso,"Director, Enhanced Recovery after Surgery (ERAS) ",Anesthesiology ,"MD, Georgetown University School of Medicine ",New York,"I am a board-certified physician in both anesthesiology and internal medicine. My main areas of expertise are perioperative medicine, enhanced recovery after surgery (ERAS), pain management in the perioperative setting, and patient outcomes (short and long term) after surgery.",https://www.mskcc.org/cancer-care/doctors/anoushka-afonso
